HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT179,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT179,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT179,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT179,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT180,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT180,TBD,serial1/0/0,FR,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
KRT,SUDAN,,PKRT217,TBD,gigabitethernet0/0/0,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,SHAV258,TBD,gigabitethernet0/0/2,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
HAV,CUBA,,PHAV257,TBD,gigabitethernet0/0/1,MEA,TBD,TBD,,,,,TBD,TBD,TBD,,,airporthubnet,,APH
